neighbor,interventions,total_abs_effect,mean_abs_effect,mean_delta
1816RaasK5ALaRreqiDu71V24NAexYGAaL,2,0.003391861915588379,0.0016959309577941895,-0.0016959309577941895
192TAu3s3AYfXG4f5r45FWjJm9iizMH21f,1,0.0033827871084213257,0.0033827871084213257,-0.0033827871084213257
1KEz8TcfKPeq8qA3dPhFmTQx2umyh2yRDa,2,0.003333726432174444,0.001666863216087222,-0.001666863216087222
15DfNzRJw5TE7rSftM8gCSSopE7t5M56L3,1,0.0032600462436676025,0.0032600462436676025,-0.0032600462436676025
1Awqsuiy5Df6VMFvNq7SawDCGJWU4Rg3Ky,1,0.0028349757194519043,0.0028349757194519043,-0.0028349757194519043
14X9cD2o4UW5NgwGWG13FiwAMiMcmN4CS4,1,0.0027594268321990967,0.0027594268321990967,0.0027594268321990967
1Lsqcv4cg5zUctNi2qwNxMkrv1GeBboSUJ,1,0.002729705534875393,0.002729705534875393,-0.002729705534875393
1KfNpZTbam5dLXuGzFeCEX1ecbzkWx8Tv2,1,0.002630949020385742,0.002630949020385742,-0.002630949020385742
1LbPfE9JkijxZpnF8cNpbhMzfrzH7MxoZf,1,0.0025771744549274445,0.0025771744549274445,-0.0025771744549274445
1PMKFeJvug6qN4WYf8wyakqMtYRA66LWG4,1,0.002576775848865509,0.002576775848865509,-0.002576775848865509
17BymcHaGRbXGnEzR2m9woUYNf9FBPPJ2P,1,0.0024581062607467175,0.0024581062607467175,-0.0024581062607467175
1NS3TYf1EijKLwFeqQtUR9CTLQpkCMpxZx,1,0.0024341121315956116,0.0024341121315956116,0.0024341121315956116
17iXD5qnNkfUQvLFE665WgFVF6WCKxiT8x,1,0.0023709938395768404,0.0023709938395768404,-0.0023709938395768404
1BToiZSEp8GEQEX3h28TKY9pDsGxH8KsHr,1,0.002288348972797394,0.002288348972797394,-0.002288348972797394
14UZrrYi4scVFTSRY8dvrurvWi9bkbxdpq,1,0.002117202850058675,0.002117202850058675,-0.002117202850058675
